Sample_Index,Raw_ECG_Value
0,-127.000000
1,-162.000000
2,-197.000000
3,-229.000000
4,-245.000000
5,-254.000000
6,-261.000000
7,-265.000000
8,-268.000000
9,-268.000000
10,-267.000000
11,-265.000000
12,-263.000000
13,-260.000000
14,-256.000000
15,-253.000000
16,-249.000000
17,-247.000000
18,-245.000000
19,-243.000000
20,-241.000000
21,-238.000000
22,-236.000000
23,-234.000000
24,-232.000000
25,-231.000000
26,-230.000000
27,-229.000000
28,-229.000000
29,-229.000000
30,-229.000000
31,-230.000000
32,-230.000000
33,-230.000000
34,-229.000000
35,-229.000000
36,-227.000000
37,-225.000000
38,-221.000000
39,-218.000000
40,-215.000000
41,-213.000000
42,-213.000000
43,-213.000000
44,-212.000000
45,-211.000000
46,-210.000000
47,-209.000000
48,-206.000000
49,-203.000000
50,-201.000000
51,-198.000000
52,-198.000000
53,-200.000000
54,-204.000000
55,-210.000000
56,-216.000000
57,-224.000000
58,-233.000000
59,-243.000000
60,-253.000000
61,-262.000000
62,-270.000000
63,-275.000000
64,-281.000000
65,-286.000000
66,-291.000000
67,-292.000000
68,-289.000000
69,-282.000000
70,-273.000000
71,-264.000000
72,-259.000000
73,-255.000000
74,-250.000000
75,-246.000000
76,-241.000000
77,-237.000000
78,-233.000000
79,-229.000000
80,-226.000000
81,-222.000000
82,-219.000000
83,-216.000000
84,-213.000000
85,-209.000000
86,-204.000000
87,-195.000000
88,-187.000000
89,-179.000000
90,-172.000000
91,-169.000000
92,-166.000000
93,-164.000000
94,-161.000000
95,-159.000000
96,-157.000000
97,-156.000000
98,-154.000000
99,-153.000000
100,-153.000000
101,-154.000000
102,-155.000000
103,-157.000000
104,-159.000000
105,-160.000000
106,-162.000000
107,-164.000000
108,-166.000000
109,-167.000000
110,-169.000000
111,-170.000000
112,-171.000000
113,-174.000000
114,-177.000000
115,-177.000000
116,-171.000000
117,-158.000000
118,-121.000000
119,-66.000000
120,11.000000
121,109.000000
122,219.000000
123,331.000000
124,434.000000
125,519.000000
126,575.000000
127,593.000000
128,578.000000
129,533.000000
130,440.000000
131,329.000000
132,213.000000
133,99.000000
134,-3.000000
135,-88.000000
136,-153.000000
137,-189.000000
138,-210.000000
139,-222.000000
140,-230.000000
141,-237.000000
142,-243.000000
143,-248.000000
144,-253.000000
145,-256.000000
146,-260.000000
147,-263.000000
148,-266.000000
149,-267.000000
150,-266.000000
151,-264.000000
152,-259.000000
153,-254.000000
154,-249.000000
155,-244.000000
156,-238.000000
157,-231.000000
158,-224.000000
159,-216.000000
160,-207.000000
161,-199.000000
162,-191.000000
163,-183.000000
164,-176.000000
165,-170.000000
166,-164.000000
167,-159.000000
168,-155.000000
169,-150.000000
170,-143.000000
171,-137.000000
172,-129.000000
173,-122.000000
174,-114.000000
175,-104.000000
176,-92.000000
177,-77.000000
178,-64.000000
179,-52.000000
180,-39.000000
181,-27.000000
182,-14.000000
183,-1.000000
184,9.000000
185,18.000000
186,26.000000
187,34.000000
188,42.000000
189,49.000000
190,53.000000
191,56.000000
192,58.000000
193,61.000000
194,64.000000
195,67.000000
196,70.000000
197,72.000000
198,73.000000
199,73.000000
200,73.000000
201,72.000000
202,71.000000
203,69.000000
204,66.000000
205,62.000000
206,58.000000
207,53.000000
208,49.000000
209,45.000000
210,39.000000
211,30.000000
212,21.000000
213,14.000000
214,7.000000
215,0.000000
216,-7.000000
217,-13.000000
218,-14.000000
219,-10.000000
220,-4.000000
221,0.000000
222,2.000000
223,5.000000
224,7.000000
225,10.000000
226,14.000000
227,18.000000
228,22.000000
229,25.000000
230,28.000000
231,30.000000
232,31.000000
233,32.000000
234,33.000000
235,35.000000
236,37.000000
237,39.000000
238,41.000000
239,42.000000
240,43.000000
241,45.000000
242,47.000000
243,49.000000
244,52.000000
245,54.000000
246,56.000000
247,59.000000
248,61.000000
249,65.000000
250,68.000000
251,73.000000
252,78.000000
253,87.000000
254,96.000000
255,103.000000
256,106.000000
257,107.000000
258,109.000000
259,110.000000
260,111.000000
261,112.000000
262,113.000000
263,113.000000
264,112.000000
265,111.000000
266,110.000000
267,110.000000
268,109.000000
269,110.000000
270,110.000000
271,110.000000
272,110.000000
273,111.000000
274,112.000000
275,114.000000
276,115.000000
277,117.000000
278,118.000000
279,119.000000
280,121.000000
281,122.000000
282,124.000000
283,126.000000
284,129.000000
285,132.000000
286,136.000000
287,140.000000
288,144.000000
289,148.000000
290,155.000000
291,163.000000
292,167.000000
293,169.000000
294,170.000000
295,171.000000
296,172.000000
297,174.000000
298,176.000000
299,178.000000
300,180.000000
301,182.000000
302,185.000000
303,188.000000
304,192.000000
305,195.000000
306,198.000000
307,201.000000
308,204.000000
309,208.000000
310,212.000000
311,214.000000
312,212.000000
313,208.000000
314,203.000000
315,198.000000
316,194.000000
317,190.000000
318,186.000000
319,182.000000
320,177.000000
321,174.000000
322,171.000000
323,170.000000
324,170.000000
325,171.000000
326,172.000000
327,175.000000
328,179.000000
329,183.000000
330,189.000000
331,195.000000
332,208.000000
333,239.000000
334,302.000000
335,377.000000
336,461.000000
337,547.000000
338,634.000000
339,722.000000
340,803.000000
341,849.000000
342,865.000000
343,845.000000
344,786.000000
345,694.000000
346,593.000000
347,495.000000
348,401.000000
349,310.000000
350,225.000000
351,151.000000
352,113.000000
353,103.000000
354,95.000000
355,91.000000
356,88.000000
357,87.000000
358,87.000000
359,88.000000
360,91.000000
361,94.000000
362,98.000000
363,103.000000
364,108.000000
365,111.000000
366,114.000000
367,117.000000
368,119.000000
369,122.000000
370,125.000000
371,128.000000
372,132.000000
373,135.000000
374,137.000000
375,139.000000
376,141.000000
377,143.000000
378,145.000000
379,147.000000
380,150.000000
381,154.000000
382,157.000000
383,161.000000
384,166.000000
385,171.000000
386,176.000000
387,180.000000
388,182.000000
389,184.000000
390,184.000000
391,183.000000
392,181.000000
393,179.000000
394,176.000000
395,172.000000
396,167.000000
397,161.000000
398,152.000000
399,133.000000
400,118.000000
401,109.000000
402,104.000000
403,99.000000
404,96.000000
405,92.000000
406,88.000000
407,83.000000
408,79.000000
409,75.000000
410,71.000000
411,66.000000
412,61.000000
413,53.000000
414,45.000000
415,37.000000
416,30.000000
417,22.000000
418,5.000000
419,-22.000000
420,-51.000000
421,-77.000000
422,-100.000000
423,-125.000000
424,-150.000000
425,-178.000000
426,-200.000000
427,-214.000000
428,-228.000000
429,-242.000000
430,-250.000000
431,-254.000000
432,-257.000000
433,-259.000000
434,-261.000000
435,-264.000000
436,-267.000000
437,-270.000000
438,-272.000000
439,-274.000000
440,-276.000000
441,-278.000000
442,-280.000000
443,-283.000000
444,-286.000000
445,-292.000000
446,-308.000000
447,-323.000000
448,-335.000000
449,-344.000000
450,-352.000000
451,-364.000000
452,-376.000000
453,-388.000000
454,-400.000000
455,-412.000000
456,-421.000000
457,-430.000000
458,-448.000000
459,-475.000000
460,-502.000000
461,-526.000000
462,-547.000000
463,-570.000000
464,-592.000000
465,-618.000000
466,-648.000000
467,-680.000000
468,-709.000000
469,-729.000000
470,-738.000000
471,-745.000000
472,-751.000000
473,-754.000000
474,-748.000000
475,-736.000000
476,-716.000000
477,-689.000000
478,-670.000000
479,-658.000000
480,-645.000000
481,-632.000000
482,-616.000000
483,-597.000000
484,-582.000000
485,-568.000000
486,-554.000000
487,-535.000000
488,-515.000000
489,-496.000000
490,-481.000000
491,-472.000000
492,-467.000000
493,-464.000000
494,-460.000000
495,-457.000000
496,-452.000000
497,-447.000000
498,-442.000000
499,-435.000000
500,-426.000000
501,-412.000000
502,-389.000000
503,-376.000000
504,-360.000000
505,-337.000000
506,-314.000000
507,-289.000000
508,-274.000000
509,-267.000000
510,-261.000000
511,-256.000000
512,-250.000000
513,-245.000000
514,-239.000000
515,-233.000000
516,-227.000000
517,-221.000000
518,-212.000000
519,-202.000000
520,-190.000000
521,-172.000000
522,-148.000000
523,-130.000000
524,-116.000000
525,-104.000000
526,-92.000000
527,-78.000000
528,-68.000000
529,-60.000000
530,-54.000000
531,-49.000000
532,-47.000000
533,-45.000000
534,-43.000000
535,-41.000000
536,-40.000000
537,-38.000000
538,-35.000000
539,-33.000000
540,-40.000000
541,-52.000000
542,-59.000000
543,-66.000000
544,-72.000000
545,-76.000000
546,-78.000000
547,-77.000000
548,-74.000000
549,-67.000000
550,-55.000000
551,-18.000000
552,33.000000
553,102.000000
554,193.000000
555,310.000000
556,441.000000
557,567.000000
558,669.000000
559,718.000000
560,735.000000
561,711.000000
562,638.000000
563,511.000000
564,355.000000
565,196.000000
566,56.000000
567,-43.000000
568,-96.000000
569,-122.000000
570,-144.000000
571,-173.000000
572,-195.000000
573,-207.000000
574,-215.000000
575,-218.000000
576,-215.000000
577,-209.000000
578,-202.000000
579,-194.000000
580,-186.000000
581,-178.000000
582,-168.000000
583,-159.000000
584,-152.000000
585,-146.000000
586,-141.000000
587,-136.000000
588,-133.000000
589,-130.000000
590,-126.000000
591,-123.000000
592,-119.000000
593,-115.000000
594,-111.000000
595,-107.000000
596,-103.000000
597,-98.000000
598,-92.000000
599,-86.000000
600,-80.000000
601,-75.000000
